"Tingle, Tim",Title,Call_Number,Cumu_Circ,Last_Circ_Date,Weed,Date,weed_for_condition,Author_Cultural_Identity,BH_Source_Note_Score,Tier_Score,Country,Region,Source,Award,Fiction_NonFiction,Explore
"Craft, Mahlon F.",Beauty & the beast /,J 398.20944 F844CRB,18,6/20/2023,,2016,,,,,France,Europe,,,NonFiction,
"DeFelice, Cynthia C.",Three perfect peaches : a French folktale /,J 398.20944 F844DET,31,3/11/2023,,1995,,,,,France,Europe,,,NonFiction,
"Huck, Charlotte S.",Toads and diamonds /,J 398.20944 F844HUCT,34,9/27/2022,,1996,,,,,France,Europe,,,NonFiction,
"Kirstein, Lincoln, 1907-1996",Puss in boots /,J 398.20944 F844KIP,39,8/3/2022,,1992,,,,,France,Europe,Grimm,,NonFiction,
"Mayer, Marianna",Beauty and the beast /,J 398.20944 F844MAB,20,9/30/2022,,2000,,,,,France,Europe,,,NonFiction,
"Roth, Susan L.",Brave Martha and the dragon /,J 398.20944 F844ROB,15,4/19/2023,,1996,,,,,France,Europe,,,NonFiction,
"San Souci, Robert D",Cendrillon : a Caribbean Cinderella /,J 398.20944 F844sac 1998,15,45019,,1998,,,4,2,Caribbean,North America,Grimm,,NonFiction,1
"San Souci, Robert D.",Little Pierre : a Cajun story from Louisiana /,J 398.20944 F844SAL,27,23-Aug,,2003,,,,,American,North America,,,NonFiction,
"Sanderson, Ruth",Cinderella /,J 398.20944 F844sanc 2002,25,6/6/2023,,2002,,,,,France,Europe,Grimm,,NonFiction,
"Langton, Jane, 1922-2018",Saint Francis and the wolf /,J 398.20945 IT1LAS,40,6/17/2023,,2007,,,,,Italy,Europe,,,NonFiction,
"Peterson, Julienne","Caterina, the clever farm girl : a tale from Italy  /",J 398.20945 IT1PEC,37,4/15/2023,,1996,,,,,Italy,Europe,,,NonFiction,
"Sanderson, Ruth",Papa Gatto : an Italian fairy tale /,J 398.20945 IT1SAP,34,4/15/2023,,1995,,,,,Italy,Europe,,,NonFiction,
"Sierra, Judy",The beautiful butterfly : a folktale from Spain /,J 398.20946 SP15SIB,26,8/3/2022,,2000,,,,,Spain,Europe,,,NonFiction,
"Arnold, Katya",Baba Yaga & the little girl : a Russian folktale /,J 398.20947 R92ARNB,39,7/16/2023,,1994,,,,,Russian,Russia,,,NonFiction,
